ID	Side	Element	Fem_01R	Fem_02R	Fem_03R	Fem_04R	Fem_05R	Fem_06R	Fem_07R
Femur_R39	Right	Femur	479	473	71	43	29	21	27
Femur_R40	Right	Femur	478	474	82	47	30	29	22
Femur_R41	Right	Femur	498	491	87	51	32	29	31
Femur_R42	Right	Femur	474	469	75	42	29	27	30
Femur_R43	Right	Femur	489	485	79	47	30	28	32
Femur_R44	Right	Femur	462	457	88	50	29	32	30
Femur_R45	Right	Femur	460	457	77	43	30	24	29
Femur_R46	Right	Femur	523	520	85	47	30	32	31
Femur_R47	Right	Femur	484	478	92	51	31	29	32
Femur_R48	Right	Femur	493	490	88	50	31	28	32
Femur_R49	Right	Femur	468	467	82	45	27	25	32
Femur_R50	Right	Femur	477	475	83	50	30	29	31
Femur_R51	Right	Femur	466	464	88	48	32	31	31
Femur_R52	Right	Femur	446	444	82	47	32	34	31
Femur_R53	Right	Femur	441	437	79	47.6	30.4	30.5	29.5
Femur_R54	Right	Femur	441	438	76	44.29	26.56	23.72	28.15
Femur_R55	Right	Femur	375	374	74	41.11	26.36	21.45	24.05
Femur_R56	Right	Femur	399	395	76	41.89	23.13	23.38	26.86
Femur_R57	Right	Femur	410	405	74	41.96	23.62	20.94	24.13
Femur_R58	Right	Femur	394	391	69	38.42	23.68	20.66	22.92
Femur_R59	Right	Femur	468	464	83	51.2	32.1	30.6	30.4
Femur_R60	Right	Femur	434	429	76	43.1	31.4	25.5	24.1
Femur_R61	Right	Femur	397	393	76	41.5	27.9	23.7	26.3
Femur_R62	Right	Femur	370	365	68	38.1	24.7	22.1	22.3
Femur_R63	Right	Femur	451	449	91	49.6	33.5	29.4	31.3
Femur_R64	Right	Femur	450	446	81	46.6	29.5	23.3	28.1
Femur_R65	Right	Femur	443	442	85	50.6	32.2	27.9	30.2
Femur_R66	Right	Femur	438	435	74	45.1	29.3	25.7	28.9
Femur_R67	Right	Femur	410	407	73	41.5	26.8	25	25.3
Femur_R68	Right	Femur	410	404	71	43.6	28.5	21.4	22.8
Femur_R69	Right	Femur	462	458	81	48.5	27.6	25.4	27.8
Femur_R70	Right	Femur	514	508	91	51.4	36.1	34.4	34.3
Femur_R71	Right	Femur	482	478	78	46	29	23	27
Femur_R72	Right	Femur	487	485	89	50	32	29	31
Femur_R73	Right	Femur	444	437	85	48	31	27	29
Femur_R74	Right	Femur	464	458	86	47.4	30.4	28.4	27.8
Femur_R75	Right	Femur	458.5	455.5	83.5	52.8	30.2	28	28.2
Femur_R76	Right	Femur	410	407	84.5	47.6	30.6	29.4	30.2
Femur_R77	Right	Femur	416	413	83.5	48.3	30	28.8	30.8
Femur_R78	Right	Femur	441.5	439.5	82	47.4	30.9	26.6	26.9
Femur_R79	Right	Femur	459.5	455	91	50.1	33.4	34.2	33.5
Femur_R80	Right	Femur	431	427.5	71.5	42.5	29.4	27.2	24.5
Femur_R81	Right	Femur	425	423	72	42.3	28.4	27.7	27.5
Femur_R82	Right	Femur	431	430	83	47.2	33.5	29.2	28.5
Femur_R83	Right	Femur	441	438	79	43.7	32.7	25.2	28.2
Femur_R84	Right	Femur	444.5	440	87	48.3	34	26.7	27.9
Femur_R85	Right	Femur	408	404.5	76.5	45.4	29.3	25.2	24.4
Femur_R86	Right	Femur	502	499	85	48	32	27	32
Femur_R87	Right	Femur	468	467	86	49	34	30	29
Femur_R88	Right	Femur	499	494	91	51	34	30	31
Femur_R89	Right	Femur	428	427	79	45	28	29	30
Femur_R90	Right	Femur	465	462	85	51	35	27	29
Femur_R91	Right	Femur	465	462	82	46	32	27	29
Femur_R92	Right	Femur	506	502	80	48.5	29.7	25.4	29.3
